time,freq,dur,vel,name
17.436,261.63,0.441,0.54,C4
17.436,311.13,0.443,0.45,D#4
17.449,207.65,0.43,0.43,G#3
17.576,698.46,0.301,0.69,F5
17.866,103.83,0.199,0.41,G#2
17.878,207.65,0.304,0.68,G#3
17.878,261.63,0.304,0.63,C4
17.879,311.13,0.29,0.54,D#4
17.879,622.25,0.174,0.35,D#5
18.17,98.0,0.975,0.46,G2
18.17,293.66,0.847,0.39,D4
18.17,698.46,0.255,0.5,F5
18.181,196.0,1.126,0.52,G3
18.181,246.94,1.045,0.54,B3
18.471,622.25,0.268,0.51,D#5
18.53,392.0,0.325,0.3,G4
18.761,698.46,0.151,0.59,F5
18.912,622.25,0.301,0.62,D#5
19.203,523.25,1.266,0.52,C5
19.238,77.78,0.093,0.23,D#2
19.342,77.78,0.301,0.55,D#2
19.342,155.56,0.174,0.34,D#3
19.632,146.83,0.22,0.35,D3
19.644,73.42,0.291,0.44,D2
19.935,69.3,0.569,0.46,C#2
19.935,138.59,0.244,0.35,C#3
0.128,622.25,0.29,0.8,D#5
0.418,622.25,0.301,0.76,D#5
0.709,698.46,0.325,0.77,F5
1.01,622.25,0.301,0.76,D#5
1.312,103.83,0.721,0.63,G#2
1.312,523.25,0.396,0.62,C5
1.312,622.25,0.304,0.55,D#5
1.312,783.99,0.221,0.41,G5
1.58,207.65,0.151,0.3,G#3
1.743,155.56,0.441,0.57,D#3
1.743,207.65,0.441,0.52,G#3
1.743,261.63,0.441,0.56,C4
1.743,415.3,0.081,0.37,G#4
1.883,783.99,0.279,0.55,G5
2.172,103.83,0.244,0.36,G#2
2.184,155.56,0.29,0.55,D#3
2.184,207.65,0.314,0.68,G#3
2.184,261.63,0.29,0.64,C4
2.184,311.13,0.174,0.35,D#4
2.184,415.3,0.22,0.36,G#4
2.184,523.25,0.29,0.5,C5
2.184,622.25,0.244,0.5,D#5
2.474,493.88,0.452,0.55,B4
2.474,587.33,0.452,0.58,D5
2.474,698.46,0.452,0.56,F5
2.486,98.0,0.43,0.74,G2
2.532,196.0,0.384,0.31,G3
2.915,98.0,0.581,0.48,G2
2.928,146.83,0.349,0.34,D3
2.928,196.0,0.441,0.54,G3
2.928,246.94,0.384,0.49,B3
2.928,293.66,0.174,0.28,D4
2.928,392.0,0.07,0.29,G4
2.928,493.88,0.255,0.4,B4
2.928,587.33,0.395,0.51,D5
2.928,698.46,0.406,0.44,F5
3.356,155.56,1.185,0.65,D#3
3.356,261.63,1.163,0.65,C4
3.369,196.0,1.174,0.64,G3
3.369,311.13,0.28,0.37,D#4
3.369,523.25,0.919,0.5,C5
3.369,622.25,0.326,0.51,D#5
3.402,77.78,0.21,0.4,D#2
3.88,622.25,0.127,0.36,D#5
4.53,98.0,0.174,0.28,G2
4.543,155.56,0.301,0.66,D#3
4.543,196.0,0.848,0.65,G3
4.543,233.08,0.848,0.53,A#3
4.543,392.0,0.186,0.33,G4
4.554,77.78,0.766,0.5,D#2
4.554,311.13,0.279,0.42,D#4
4.832,311.13,0.301,0.43,D#4
4.832,622.25,0.301,0.66,D#5
4.844,155.56,0.58,0.61,D#3
4.925,98.0,0.081,0.35,G2
5.134,311.13,0.174,0.39,D#4
5.134,622.25,0.291,0.68,D#5
5.309,98.0,0.116,0.46,G2
5.413,698.46,0.28,0.69,F5
5.426,98.0,0.441,0.62,G2
5.704,233.08,0.244,0.43,A#3
5.704,622.25,0.301,0.72,D#5
5.716,116.54,0.314,0.7,A#2
6.006,103.83,0.453,0.68,G#2
6.006,523.25,0.453,0.61,C5
6.006,622.25,0.301,0.51,D#5
6.006,783.99,0.314,0.4,G5
6.378,155.56,0.07,0.36,D#3
6.447,207.65,0.453,0.59,G#3
6.447,261.63,0.441,0.58,C4
6.447,415.3,0.186,0.35,G#4
6.459,103.83,0.36,0.41,G#2
6.459,155.56,0.441,0.53,D#3
6.459,523.25,0.43,0.43,C5
6.459,622.25,0.441,0.32,D#5
6.889,103.83,0.29,0.39,G#2
6.889,261.63,0.29,0.64,C4
6.889,523.25,0.301,0.53,C5
6.9,155.56,0.279,0.56,D#3
6.9,207.65,0.314,0.67,G#3
6.9,311.13,0.151,0.37,D#4
6.9,415.3,0.233,0.38,G#4
6.9,622.25,0.22,0.41,D#5
7.19,98.0,0.431,0.75,G2
7.19,493.88,0.431,0.57,B4
7.19,587.33,0.442,0.54,D5
7.19,698.46,0.442,0.55,F5
7.225,196.0,0.385,0.31,G3
7.621,98.0,0.685,0.48,G2
7.621,146.83,0.36,0.3,D3
7.621,196.0,0.453,0.54,G3
7.621,246.94,0.371,0.51,B3
7.621,293.66,0.163,0.29,D4
7.621,392.0,0.139,0.31,G4
7.621,493.88,0.36,0.45,B4
7.633,587.33,0.384,0.55,D5
7.633,698.46,0.384,0.45,F5
8.062,155.56,1.196,0.65,D#3
8.062,261.63,1.172,0.64,C4
8.062,392.0,0.163,0.32,G4
8.062,523.25,0.836,0.5,C5
8.074,196.0,1.184,0.62,G3
8.074,311.13,0.314,0.37,D#4
8.074,622.25,0.639,0.43,D#5
8.179,77.78,0.139,0.38,D#2
9.246,392.0,0.152,0.34,G4
9.259,155.56,0.895,0.57,D#3
9.259,196.0,0.872,0.65,G3
9.259,233.08,0.791,0.52,A#3
9.259,311.13,0.431,0.37,D#4
9.27,77.78,0.779,0.5,D#2
9.526,523.25,0.604,0.75,C5
9.608,392.0,0.081,0.31,G4
10.119,587.33,0.58,0.7,D5
10.13,116.54,0.488,0.69,A#2
10.409,293.66,0.081,0.34,D4
10.42,98.0,0.29,0.69,G2
10.49,196.0,0.127,0.32,G3
10.711,103.83,0.592,0.7,G#2
10.711,311.13,0.07,0.27,D#4
10.711,523.25,0.872,0.57,C5
10.711,622.25,0.569,0.52,D#5
11.012,155.56,0.884,0.62,D#3
11.302,103.83,0.559,0.54,G#2
11.302,207.65,0.57,0.6,G#3
11.302,466.16,0.581,0.6,A#4
11.885,116.54,1.289,0.64,A#2
11.885,233.08,0.593,0.43,A#3
11.885,466.16,0.441,0.63,A#4
12.186,174.61,0.859,0.51,F3
12.326,466.16,0.755,0.51,A#4
12.476,233.08,0.639,0.54,A#3
12.779,622.25,0.487,0.56,D#5
12.953,77.78,0.248,0.4,D#2
13.069,155.56,0.419,0.42,D#3
13.371,116.54,1.951,0.52,A#2
13.371,233.08,0.059,0.28,A#3
13.651,155.56,0.604,0.57,D#3
13.941,196.0,0.604,0.65,G3
14.242,523.25,0.824,0.64,C5
14.255,155.56,0.58,0.48,D#3
14.545,196.0,0.837,0.62,G3
14.824,783.99,0.07,0.32,G5
14.835,155.56,0.57,0.61,D#3
14.835,587.33,0.524,0.62,D5
15.021,98.0,0.092,0.44,G2
15.125,98.0,0.291,0.66,G2
15.405,523.25,0.627,0.65,C5
15.416,103.83,1.15,0.65,G#2
15.416,622.25,0.488,0.53,D#5
15.719,155.56,0.883,0.61,D#3
16.009,207.65,0.593,0.58,G#3
16.009,466.16,0.395,0.57,A#4
16.195,77.78,0.209,0.39,D#2
16.601,116.54,1.174,0.65,A#2
16.601,233.08,0.58,0.43,A#3
16.601,466.16,0.43,0.6,A#4
16.891,174.61,0.837,0.53,F3
17.03,466.16,0.744,0.54,A#4
17.181,233.08,0.57,0.55,A#3
17.472,622.25,0.301,0.66,D#5
17.612,77.78,0.538,0.36,D#2
17.775,155.56,0.29,0.57,D#3
17.775,466.16,0.29,0.43,A#4
17.775,622.25,0.29,0.36,D#5
18.065,155.56,0.163,0.45,D#3
18.065,466.16,0.29,0.54,A#4
18.065,622.25,0.233,0.56,D#5
18.355,466.16,0.233,0.6,A#4
18.355,698.46,0.255,0.67,F5
18.6,77.78,0.555,0.49,D#2
18.657,155.56,0.615,0.51,D#3
18.657,233.08,0.093,0.31,A#3
18.657,466.16,0.139,0.22,A#4
18.657,622.25,0.139,0.6,D#5
18.796,466.16,0.209,0.49,A#4
18.796,622.25,0.487,0.43,D#5
18.796,783.99,0.151,0.33,G5
19.134,466.16,0.093,0.38,A#4
19.541,98.0,0.58,0.71,G2
19.541,392.0,0.244,0.31,G4
0.321,155.56,0.894,0.37,D#3
0.321,311.13,0.233,0.48,D#4
0.321,783.99,0.07,0.31,G5
0.321,932.33,0.244,0.5,A#5
0.345,103.83,0.569,0.44,G#2
0.356,51.91,1.045,0.46,G#1
0.611,830.61,0.255,0.45,G#5
0.624,466.16,0.511,0.35,A#4
0.914,523.25,0.301,0.62,C5
0.914,783.99,0.139,0.34,G5
0.925,103.83,0.546,0.49,G#2
0.925,207.65,0.488,0.43,G#3
0.925,622.25,0.209,0.39,D#5
1.215,155.56,0.255,0.47,D#3
1.215,466.16,0.22,0.35,A#4
1.215,523.25,0.232,0.41,C5
1.215,698.46,0.29,0.61,F5
