time,freq,dur,vel,name,hand
0.904735,622.253967,0.130648,0.472441,D#5,right
1.099073,164.813778,0.414806,0.511811,E3,left
1.099073,207.652349,0.736526,0.496063,G#3,left
1.099073,246.941651,0.447468,0.543307,B3,left
1.099073,311.126984,0.414806,0.535433,D#4,right
1.257483,932.327523,0.225367,0.464567,A#5,right
1.450189,554.365262,0.254763,0.543307,C#5,right
1.482851,103.826174,0.318454,0.527559,G#2,left
1.641261,622.253967,0.385411,0.511811,D#5,right
1.801304,246.941651,0.287425,0.527559,B3,left
1.835599,155.563492,0.285792,0.503937,D#3,left
1.835599,207.652349,0.349482,0.519685,G#3,left
1.835599,830.609395,0.222101,0.527559,G#5,right
1.994010,932.327523,0.127381,0.511811,A#5,right
2.185082,207.652349,0.971692,0.519685,G#3,left
2.185082,246.941651,0.256396,0.535433,B3,left
2.185082,554.365262,0.161676,0.535433,C#5,right
2.216111,155.563492,0.258029,0.480315,D#3,left
2.377787,622.253967,0.191072,0.488189,D#5,right
2.537830,830.609395,0.422972,0.472441,G#5,right
2.568859,103.826174,0.230266,0.496063,G#2,left
2.699507,932.327523,0.164943,0.511811,A#5,right
2.732169,155.563492,0.424605,0.503937,D#3,left
2.732169,246.941651,0.262928,0.519685,B3,left
2.895478,554.365262,0.292324,0.480315,C#5,right
3.124112,103.826174,0.191072,0.511811,G#2,left
3.251493,155.563492,0.383777,0.503937,D#3,left
3.251493,207.652349,0.383777,0.527559,G#3,left
3.251493,246.941651,0.383777,0.535433,B3,left
3.444198,932.327523,0.160043,0.472441,A#5,right
3.635270,155.563492,0.352749,0.527559,D#3,left
3.635270,207.652349,0.352749,0.511811,G#3,left
3.635270,246.941651,0.352749,0.527559,B3,left
3.795314,622.253967,0.414806,0.464567,D#5,right
3.988019,155.563492,0.383777,0.519685,D#3,left
3.988019,207.652349,0.703864,0.527559,G#3,left
3.988019,246.941651,0.447468,0.527559,B3,left
4.146429,932.327523,0.194338,0.456693,A#5,right
4.340768,82.406889,0.449101,0.496063,E2,left
4.340768,164.813778,0.609145,0.535433,E3,left
4.340768,466.163762,0.254763,0.519685,A#4,right
4.340768,932.327523,0.643440,0.551181,A#5,right
4.531840,622.253967,0.452367,0.503937,D#5,right
4.691883,207.652349,0.393576,0.503937,G#3,left
4.691883,246.941651,0.292324,0.543307,B3,left
4.691883,311.126984,0.292324,0.551181,D#4,right
5.085459,207.652349,0.385411,0.488189,G#3,left
5.085459,246.941651,0.254763,0.535433,B3,left
5.403913,987.766603,0.576483,0.559055,B5,right
5.598251,207.652349,1.077843,0.503937,G#3,left
5.598251,246.941651,1.268915,0.535433,B3,left
5.598251,311.126984,1.621664,0.551181,D#4,right
5.598251,466.163762,0.535655,0.519685,A#4,right
5.980396,82.406889,0.186173,0.503937,E2,left
5.980396,415.304698,0.886771,0.566929,G#4,right
6.133907,103.826174,0.285792,0.496063,G#2,left
6.133907,466.163762,1.149699,0.527559,A#4,right
6.133907,932.327523,1.149699,0.527559,A#5,right
6.293950,123.470825,0.989656,0.503937,B2,left
6.452360,1174.659072,0.094720,0.535433,D6,right
6.483389,155.563492,0.767555,0.511811,D#3,left
6.483389,622.253967,0.894936,0.535433,D#5,right
6.676094,207.652349,0.638540,0.511811,G#3,left
6.867166,246.941651,0.383777,0.511811,B3,left
6.867166,415.304698,0.352749,0.551181,G#4,right
7.219915,164.813778,0.256396,0.488189,E3,left
7.219915,415.304698,0.289058,0.496063,G#4,right
7.378325,622.253967,0.194338,0.464567,D#5,right
7.410987,82.406889,0.161676,0.425197,E2,left
7.572664,82.406889,0.222101,0.409449,E2,left
7.572664,622.253967,0.351116,0.464567,D#5,right
7.923779,82.406889,0.254763,0.456693,E2,left
7.923779,622.253967,0.191072,0.496063,D#5,right
8.114851,622.253967,1.120303,0.464567,D#5,right
8.309190,82.406889,0.158410,0.448819,E2,left
8.309190,554.365262,0.925965,0.503937,C#5,right
8.467600,82.406889,0.194338,0.417323,E2,left
8.661938,207.652349,0.605878,0.409449,G#3,left
8.823615,82.406889,0.189439,0.440945,E2,left
8.823615,311.126984,0.189439,0.440945,D#4,right
9.013054,82.406889,0.222101,0.401575,E2,left
9.013054,311.126984,0.254763,0.401575,D#4,right
9.362536,82.406889,0.251497,0.448819,E2,left
9.362536,311.126984,0.160043,0.440945,D#4,right
9.522580,311.126984,0.502993,0.425197,D#4,right
9.738148,82.406889,0.416439,0.433071,E2,left
9.738148,415.304698,0.351116,0.503937,G#4,right
10.089264,103.826174,0.297223,0.448819,G#2,left
10.089264,415.304698,0.659771,0.480315,G#4,right
10.451811,246.941651,0.262928,0.503937,B3,left
10.482840,155.563492,0.266195,0.456693,D#3,left
10.814358,77.781746,0.351116,0.409449,D#2,left
10.814358,622.253967,0.890037,0.425197,D#5,right
11.165474,207.652349,0.569950,0.503937,G#3,left
11.165474,246.941651,0.223734,0.488189,B3,left
11.198136,155.563492,0.158410,0.425197,D#3,left
11.356546,103.826174,0.347849,0.448819,G#2,left
0.021230,932.327523,0.375612,0.480315,A#5,right
0.207403,103.826174,0.220468,0.425197,G#2,left
0.396842,155.563492,0.316821,0.456693,D#3,left
0.396842,207.652349,0.414806,0.472441,G#3,left
0.396842,246.941651,0.351116,0.488189,B3,left
0.713663,1108.730524,0.416439,0.488189,C#6,right
0.747958,103.826174,0.254763,0.448819,G#2,left
0.747958,739.988845,0.416439,0.448819,F#5,right
1.097440,155.563492,0.383777,0.464567,D#3,left
1.097440,207.652349,0.578116,0.496063,G#3,left
1.097440,246.941651,0.416439,0.496063,B3,left
1.097440,415.304698,0.352749,0.527559,G#4,right
1.450189,415.304698,0.672835,0.496063,G#4,right
1.481218,82.406889,0.352749,0.417323,E2,left
1.642894,622.253967,0.543821,0.472441,D#5,right
1.802937,207.652349,0.414806,0.488189,G#3,left
1.833966,155.563492,0.225367,0.464567,D#3,left
1.833966,246.941651,0.256396,0.496063,B3,left
2.186715,123.470825,0.447468,0.472441,B2,left
2.186715,622.253967,0.672835,0.480315,D#5,right
2.539463,207.652349,0.383777,0.488189,G#3,left
2.539463,246.941651,0.223734,0.496063,B3,left
2.539463,554.365262,1.636362,0.503937,C#5,right
2.570492,155.563492,0.127381,0.456693,D#3,left
2.728903,82.406889,0.352749,0.433071,E2,left
2.923241,207.652349,0.351116,0.401575,G#3,left
3.081651,82.406889,0.383777,0.417323,E2,left
3.081651,311.126984,0.545454,0.440945,D#4,right
3.274356,155.563492,0.223734,0.472441,D#3,left
3.274356,207.652349,0.707130,0.480315,G#3,left
3.274356,246.941651,0.321720,0.488189,B3,left
3.627105,82.406889,0.254763,0.433071,E2,left
3.627105,311.126984,0.160043,0.433071,D#4,right
3.787148,311.126984,0.617310,0.417323,D#4,right
3.981487,207.652349,0.710397,0.488189,G#3,left
3.981487,246.941651,0.422972,0.496063,B3,left
3.981487,415.304698,0.194338,0.511811,G#4,right
4.175825,415.304698,0.547087,0.472441,G#4,right
4.339135,103.826174,0.289058,0.440945,G#2,left
4.691883,155.563492,0.256396,0.433071,D#3,left
4.691883,207.652349,0.734893,0.503937,G#3,left
4.691883,246.941651,0.289058,0.503937,B3,left
4.722912,415.304698,0.321720,0.503937,G#4,right
5.044632,77.781746,0.411540,0.433071,D#2,left
5.044632,415.304698,0.627109,0.496063,G#4,right
5.075661,622.253967,1.164397,0.472441,D#5,right
5.426776,207.652349,0.244964,0.488189,G#3,left
5.426776,246.941651,0.182907,0.519685,B3,left
5.609683,92.498606,0.344583,0.440945,F#2,left
5.609683,311.126984,0.153511,0.440945,D#4,right
5.919971,466.163762,0.449101,0.488189,A#4,right
5.954266,92.498606,0.543821,0.425197,F#2,left
6.145338,138.591315,0.256396,0.472441,C#3,left
6.145338,184.997211,0.256396,0.456693,F#3,left
